job_id,cell_id,label,ref_kind,view_kind,normalization,split_type,subject_id,trial_id,report_dir,sbatch_path
46817855,C.0_baseline,"upstream baseline (train_set_fixed, shaft_laplacian, stft_abs)",shaft_laplacian,stft_abs,train_set_fixed,CrossSubject,1,1,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub1_trial1,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub1_trial1/submit.sbatch
46817856,C.0_baseline,"upstream baseline (train_set_fixed, shaft_laplacian, stft_abs)",shaft_laplacian,stft_abs,train_set_fixed,CrossSubject,1,2,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub1_trial2,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub1_trial2/submit.sbatch
46817857,C.0_baseline,"upstream baseline (train_set_fixed, shaft_laplacian, stft_abs)",shaft_laplacian,stft_abs,train_set_fixed,CrossSubject,3,0,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub3_trial0,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub3_trial0/submit.sbatch
46817858,C.0_baseline,"upstream baseline (train_set_fixed, shaft_laplacian, stft_abs)",shaft_laplacian,stft_abs,train_set_fixed,CrossSubject,3,1,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub3_trial1,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub3_trial1/submit.sbatch
46817859,C.0_baseline,"upstream baseline (train_set_fixed, shaft_laplacian, stft_abs)",shaft_laplacian,stft_abs,train_set_fixed,CrossSubject,4,0,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub4_trial0,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub4_trial0/submit.sbatch
46817860,C.0_baseline,"upstream baseline (train_set_fixed, shaft_laplacian, stft_abs)",shaft_laplacian,stft_abs,train_set_fixed,CrossSubject,4,1,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub4_trial1,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub4_trial1/submit.sbatch
46817861,C.0_baseline,"upstream baseline (train_set_fixed, shaft_laplacian, stft_abs)",shaft_laplacian,stft_abs,train_set_fixed,CrossSubject,7,0,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub7_trial0,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub7_trial0/submit.sbatch
46817862,C.0_baseline,"upstream baseline (train_set_fixed, shaft_laplacian, stft_abs)",shaft_laplacian,stft_abs,train_set_fixed,CrossSubject,7,1,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub7_trial1,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub7_trial1/submit.sbatch
46817863,C.0_baseline,"upstream baseline (train_set_fixed, shaft_laplacian, stft_abs)",shaft_laplacian,stft_abs,train_set_fixed,CrossSubject,10,0,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub10_trial0,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub10_trial0/submit.sbatch
46817864,C.0_baseline,"upstream baseline (train_set_fixed, shaft_laplacian, stft_abs)",shaft_laplacian,stft_abs,train_set_fixed,CrossSubject,10,1,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub10_trial1,reports/neuroprobe_stage0_tier_c_cross_subject_2026_05_09/C.0_baseline/sub10_trial1/submit.sbatch
